reference	query	ANI	alignment-length	percent-aligned	genus	species
L.rocourtiae_SRR1185116.fasta	L.weihenstephanensis_SRR1185118.fasta	84.51	1344082	40.09		
L.weihenstephanensis_SRR1185118.fasta	L.weihenstephanensis_SRR1185118.fasta	100.00	3352875	100.00		
reference	query	ANI	alignment-length	percent-aligned	genus	species
L.aquatica_SRR1184212.fasta	L.cornellensis_SRR1184577.fasta	83.40	56258	1.70		
L.cornellensis_SRR1184577.fasta	L.cornellensis_SRR1184577.fasta	100.00	3313815	100.00		
L.floridensis_SRR1184556.fasta	L.cornellensis_SRR1184577.fasta	83.99	59439	1.79		
L.grandensis_SRR1184683.fasta	L.cornellensis_SRR1184577.fasta	86.48	1850526	55.84		
L.grayi_SRR013525.fasta	L.cornellensis_SRR1184577.fasta	85.21	52849	1.59		
L.grayi_SRR1185119.fasta	L.cornellensis_SRR1184577.fasta	84.87	57289	1.73		
L.monocytogenes_SRR1016925.fasta	L.cornellensis_SRR1184577.fasta	83.88	98344	2.97		
L.monocytogenes_SRR1039789.fasta	L.cornellensis_SRR1184577.fasta	84.46	88525	2.67		
L.riparia_SRR1185104.fasta	L.cornellensis_SRR1184577.fasta	84.17	1086620	32.79		
L.rocourtiae_SRR1185116.fasta	L.cornellensis_SRR1184577.fasta	85.51	1972970	59.54		
L.weihenstephanensis_SRR1185118.fasta	L.cornellensis_SRR1184577.fasta	86.44	1803045	54.41		
